suburb,timestamp,price,percentage_change
Blackfellows Caves,2024-05-24,256300.0,0.0
Blackwood,2023-08-22,979200.0,2.440767973856209
Blackwood,2023-09-19,1003100.0,2.440767973856209
Blackwood,2023-09-28,1003100.0,2.440767973856209
Blackwood,2023-10-17,999400.0,2.440767973856209
Blackwood,2023-10-23,999400.0,2.440767973856209
Blackwood,2023-11-11,999400.0,2.440767973856209
Blackwood,2024-05-24,961400.0,2.440767973856209
Blair Athol,2023-08-22,679400.0,3.046806005298793
Blair Athol,2023-09-19,700100.0,3.046806005298793
Blair Athol,2023-09-28,700100.0,3.046806005298793
Blair Athol,2023-10-17,702500.0,3.046806005298793
Blair Athol,2023-10-23,702500.0,3.046806005298793
Blair Athol,2023-11-11,702500.0,3.046806005298793
Blair Athol,2024-05-24,759500.0,3.046806005298793
Blakeview,2023-08-22,483500.0,1.778697001034126
Blakeview,2023-09-19,492100.0,1.778697001034126
Blakeview,2023-09-28,492100.0,1.778697001034126
Blakeview,2023-10-17,494000.0,1.778697001034126
Blakeview,2023-10-23,494000.0,1.778697001034126
Blakeview,2023-11-11,494000.0,1.778697001034126
Blakeview,2024-05-24,553400.0,1.778697001034126
Blakiston,2023-08-22,1236200.0,0.0
Blakiston,2023-09-19,1236200.0,0.0
Blakiston,2023-09-28,1236200.0,0.0
Blakiston,2023-10-17,1236200.0,0.0
Blakiston,2023-10-23,1236200.0,0.0
Blakiston,2023-11-11,1236200.0,0.0
Blakiston,2024-05-24,1236200.0,0.0
Blanchetown,2023-08-22,266700.0,12.860892388451445
Blanchetown,2023-09-19,301000.0,12.860892388451445
Blanchetown,2023-09-28,301000.0,12.860892388451445
Blanchetown,2023-10-17,359100.0,12.860892388451445
Blanchetown,2023-10-23,359100.0,12.860892388451445
Blanchetown,2023-11-11,359100.0,12.860892388451445
Blanchetown,2024-05-24,484500.0,12.860892388451445
Blyth,2023-08-22,262700.0,-8.526836695850779
Blyth,2023-09-19,240300.0,-8.526836695850779
Blyth,2023-09-28,240300.0,-8.526836695850779
Blyth,2023-10-17,240300.0,-8.526836695850779
Blyth,2023-10-23,240300.0,-8.526836695850779
Blyth,2023-11-11,240300.0,-8.526836695850779
Blyth,2024-05-24,430000.0,-8.526836695850779
Boatswain Point,2023-08-22,325600.0,0.0
Boatswain Point,2023-09-19,325600.0,0.0
Boatswain Point,2023-09-28,325600.0,0.0
Boatswain Point,2023-10-17,325600.0,0.0
Boatswain Point,2023-10-23,325600.0,0.0
Boatswain Point,2023-11-11,325600.0,0.0
Boatswain Point,2024-05-24,325600.0,0.0
Booleroo Centre,2023-08-22,209200.0,5.688336520076482
Booleroo Centre,2023-09-19,221100.0,5.688336520076482
Booleroo Centre,2023-09-28,221100.0,5.688336520076482
Booleroo Centre,2023-10-17,246700.0,5.688336520076482
Booleroo Centre,2023-10-23,246700.0,5.688336520076482
Booleroo Centre,2023-11-11,246700.0,5.688336520076482
Booleroo Centre,2024-05-24,234700.0,5.688336520076482
Bordertown,2023-08-22,255700.0,17.911615174032068
Bordertown,2023-09-19,301500.0,17.911615174032068
Bordertown,2023-09-28,301500.0,17.911615174032068
Bordertown,2023-10-17,301500.0,17.911615174032068
Bordertown,2023-10-23,301500.0,17.911615174032068
Bordertown,2023-11-11,301500.0,17.911615174032068
Bordertown,2024-05-24,313000.0,17.911615174032068
Boston,2023-08-22,528400.0,20.81756245268736
Boston,2023-09-19,638400.0,20.81756245268736
Boston,2023-09-28,638400.0,20.81756245268736
