suburb,price,timestamp,pct_change
Beachport,516700.0,2023-09-28,0.0000
Beachport,552800.0,2023-10-17,6.9866
Beachport,552800.0,2023-10-23,0.0000
Beachport,552800.0,2023-11-11,0.0000
Beachport,556000.0,2024-05-24,0.5789
Beaumont,1644800.0,2023-08-22,nan
Beaumont,1645700.0,2023-09-19,0.0547
Beaumont,1645700.0,2023-09-28,0.0000
Beaumont,1762400.0,2023-10-17,7.0912
Beaumont,1762400.0,2023-10-23,0.0000
Beaumont,1762400.0,2023-11-11,0.0000
Beaumont,1830600.0,2024-05-24,3.8697
Bedford Park,704400.0,2023-08-22,nan
Bedford Park,709100.0,2023-09-19,0.6672
Bedford Park,709100.0,2023-09-28,0.0000
Bedford Park,723300.0,2023-10-17,2.0025
Bedford Park,723300.0,2023-10-23,0.0000
Bedford Park,723300.0,2023-11-11,0.0000
Bedford Park,780700.0,2024-05-24,7.9358
Belair,993900.0,2023-08-22,nan
Belair,1045500.0,2023-09-19,5.1917
Belair,1045500.0,2023-09-28,0.0000
Belair,1075500.0,2023-10-17,2.8694
Belair,1075500.0,2023-10-23,0.0000
Belair,1075500.0,2023-11-11,0.0000
Belair,1111300.0,2024-05-24,3.3287
Bellevue Heights,872600.0,2023-08-22,nan
Bellevue Heights,856100.0,2023-09-19,-1.8909
Bellevue Heights,856100.0,2023-09-28,0.0000
Bellevue Heights,864400.0,2023-10-17,0.9695
Bellevue Heights,864400.0,2023-10-23,0.0000
Bellevue Heights,864400.0,2023-11-11,0.0000
Bellevue Heights,916100.0,2024-05-24,5.9810
Berri,334500.0,2023-08-22,nan
Berri,366400.0,2023-09-19,9.5366
Berri,366400.0,2023-09-28,0.0000
Berri,362300.0,2023-10-17,-1.1190
Berri,362300.0,2023-10-23,0.0000
Berri,362300.0,2023-11-11,0.0000
Berri,389500.0,2024-05-24,7.5076
Beulah Park,1236000.0,2023-08-22,nan
Beulah Park,1191500.0,2023-09-19,-3.6003
Beulah Park,1191500.0,2023-09-28,0.0000
Beulah Park,1201400.0,2023-10-17,0.8309
Beulah Park,1201400.0,2023-10-23,0.0000
Beulah Park,1201400.0,2023-11-11,0.0000
Beulah Park,1370200.0,2024-05-24,14.0503
Beverley,677700.0,2023-08-22,nan
Beverley,703700.0,2023-09-19,3.8365
Beverley,703700.0,2023-09-28,0.0000
Beverley,726600.0,2023-10-17,3.2542
Beverley,726600.0,2023-10-23,0.0000
Beverley,726600.0,2023-11-11,0.0000
Beverley,892300.0,2024-05-24,22.8048
Birdwood,536200.0,2023-08-22,nan
Birdwood,508700.0,2023-09-19,-5.1287
Birdwood,508700.0,2023-09-28,0.0000
Birdwood,508700.0,2023-10-17,0.0000
Birdwood,508700.0,2023-10-23,0.0000
Birdwood,508700.0,2023-11-11,0.0000
Birdwood,663300.0,2024-05-24,30.3912
Birkenhead,682500.0,2023-08-22,nan
Birkenhead,663800.0,2023-09-19,-2.7399
Birkenhead,663800.0,2023-09-28,0.0000
Birkenhead,663800.0,2023-10-17,0.0000
Birkenhead,663800.0,2023-10-23,0.0000
Birkenhead,663800.0,2023-11-11,0.0000
Birkenhead,691000.0,2024-05-24,4.0976
Black Forest,887000.0,2023-08-22,nan
Black Forest,955100.0,2023-09-19,7.6776
Black Forest,955100.0,2023-09-28,0.0000
Black Forest,955100.0,2023-10-17,0.0000
Black Forest,955100.0,2023-10-23,0.0000
Black Forest,955100.0,2023-11-11,0.0000
Black Forest,1086500.0,2024-05-24,13.7577
Black Point,874500.0,2024-05-24,nan
Blackfellows Caves,159300.0,2023-08-22,nan
Blackfellows Caves,159300.0,2023-09-19,0.0000
Blackfellows Caves,159300.0,2023-09-28,0.0000
Blackfellows Caves,159300.0,2023-10-17,0.0000
Blackfellows Caves,159300.0,2023-10-23,0.0000
Blackfellows Caves,159300.0,2023-11-11,0.0000
Blackfellows Caves,256300.0,2024-05-24,60.8914
Blackwood,979200.0,2023-08-22,nan
Blackwood,1003100.0,2023-09-19,2.4408
Blackwood,1003100.0,2023-09-28,0.0000
Blackwood,999400.0,2023-10-17,-0.3689
Blackwood,999400.0,2023-10-23,0.0000
Blackwood,999400.0,2023-11-11,0.0000
Blackwood,961400.0,2024-05-24,-3.8023
Blair Athol,679400.0,2023-08-22,nan
Blair Athol,700100.0,2023-09-19,3.0468
Blair Athol,700100.0,2023-09-28,0.0000
Blair Athol,702500.0,2023-10-17,0.3428
Blair Athol,702500.0,2023-10-23,0.0000
Blair Athol,702500.0,2023-11-11,0.0000
Blair Athol,759500.0,2024-05-24,8.1139
Blakeview,483500.0,2023-08-22,nan
Blakeview,492100.0,2023-09-19,1.7787
Blakeview,492100.0,2023-09-28,0.0000
Blakeview,494000.0,2023-10-17,0.3861
Blakeview,494000.0,2023-10-23,0.0000
Blakeview,494000.0,2023-11-11,0.0000
Blakeview,553400.0,2024-05-24,12.0243
Blakiston,1236200.0,2023-08-22,nan
Blakiston,1236200.0,2023-09-19,0.0000
Blakiston,1236200.0,2023-09-28,0.0000
Blakiston,1236200.0,2023-10-17,0.0000
Blakiston,1236200.0,2023-10-23,0.0000
Blakiston,1236200.0,2023-11-11,0.0000
Blakiston,1236200.0,2024-05-24,0.0000
Blanchetown,266700.0,2023-08-22,nan
Blanchetown,301000.0,2023-09-19,12.8609
Blanchetown,301000.0,2023-09-28,0.0000
Blanchetown,359100.0,2023-10-17,19.3023
Blanchetown,359100.0,2023-10-23,0.0000
Blanchetown,359100.0,2023-11-11,0.0000
Blanchetown,484500.0,2024-05-24,34.9206
Blyth,262700.0,2023-08-22,nan
Blyth,240300.0,2023-09-19,-8.5268
Blyth,240300.0,2023-09-28,0.0000
Blyth,240300.0,2023-10-17,0.0000
Blyth,240300.0,2023-10-23,0.0000
Blyth,240300.0,2023-11-11,0.0000
Blyth,430000.0,2024-05-24,78.9430
Boatswain Point,325600.0,2023-08-22,nan
Boatswain Point,325600.0,2023-09-19,0.0000
Boatswain Point,325600.0,2023-09-28,0.0000
Boatswain Point,325600.0,2023-10-17,0.0000
Boatswain Point,325600.0,2023-10-23,0.0000
Boatswain Point,325600.0,2023-11-11,0.0000
Boatswain Point,325600.0,2024-05-24,0.0000
Booleroo Centre,209200.0,2023-08-22,nan
Booleroo Centre,221100.0,2023-09-19,5.6883
Booleroo Centre,221100.0,2023-09-28,0.0000
Booleroo Centre,246700.0,2023-10-17,11.5785
Booleroo Centre,246700.0,2023-10-23,0.0000
Booleroo Centre,246700.0,2023-11-11,0.0000
Booleroo Centre,234700.0,2024-05-24,-4.8642
Bordertown,255700.0,2023-08-22,nan
Bordertown,301500.0,2023-09-19,17.9116
Bordertown,301500.0,2023-09-28,0.0000
Bordertown,301500.0,2023-10-17,0.0000
Bordertown,301500.0,2023-10-23,0.0000
Bordertown,301500.0,2023-11-11,0.0000
Bordertown,313000.0,2024-05-24,3.8143
Boston,528400.0,2023-08-22,nan
Boston,638400.0,2023-09-19,20.8176
Boston,638400.0,2023-09-28,0.0000
Boston,624500.0,2023-10-17,-2.1773
Boston,624500.0,2023-10-23,0.0000
Boston,624500.0,2023-11-11,0.0000
Boston,692400.0,2024-05-24,10.8727
Bowden,708800.0,2023-08-22,nan
Bowden,725100.0,2023-09-19,2.2997
Bowden,725100.0,2023-09-28,0.0000
Bowden,726600.0,2023-10-17,0.2069
Bowden,726600.0,2023-10-23,0.0000
Bowden,726600.0,2023-11-11,0.0000
Bowden,733300.0,2024-05-24,0.9221
Bowhill,763300.0,2023-08-22,nan
Bowhill,763300.0,2023-09-19,0.0000
Bowhill,763300.0,2023-09-28,0.0000
Bowhill,763300.0,2023-10-17,0.0000
Bowhill,763300.0,2023-10-23,0.0000
Bowhill,763300.0,2023-11-11,0.0000
Bowhill,763300.0,2024-05-24,0.0000
Bradbury,1190600.0,2023-08-22,nan
Bradbury,1190600.0,2023-09-19,0.0000
Bradbury,1190600.0,2023-09-28,0.0000
Bradbury,1190600.0,2023-10-17,0.0000
Bradbury,1190600.0,2023-10-23,0.0000
Bradbury,1190600.0,2023-11-11,0.0000
Bradbury,1190600.0,2024-05-24,0.0000
Brahma Lodge,491000.0,2023-08-22,nan
Brahma Lodge,504900.0,2023-09-19,2.8310
Brahma Lodge,504900.0,2023-09-28,0.0000
Brahma Lodge,512100.0,2023-10-17,1.4260
Brahma Lodge,512100.0,2023-10-23,0.0000
Brahma Lodge,512100.0,2023-11-11,0.0000
Brahma Lodge,557900.0,2024-05-24,8.9436
Bridgewater,827200.0,2023-08-22,nan
Bridgewater,860100.0,2023-09-19,3.9773
Bridgewater,860100.0,2023-09-28,0.0000
Bridgewater,869400.0,2023-10-17,1.0813
Bridgewater,869400.0,2023-10-23,0.0000
Bridgewater,869400.0,2023-11-11,0.0000
Bridgewater,915300.0,2024-05-24,5.2795
Brighton,1157100.0,2023-08-22,nan
Brighton,1219100.0,2023-09-19,5.3582
Brighton,1219100.0,2023-09-28,0.0000
Brighton,1209600.0,2023-10-17,-0.7793
Brighton,1209600.0,2023-10-23,0.0000
Brighton,1209600.0,2023-11-11,0.0000
Brighton,1374400.0,2024-05-24,13.6243
Brinkworth,152300.0,2023-08-22,nan
Brinkworth,152300.0,2023-09-19,0.0000
Brinkworth,152300.0,2023-09-28,0.0000
Brinkworth,152300.0,2023-10-17,0.0000
Brinkworth,152300.0,2023-10-23,0.0000
Brinkworth,152300.0,2023-11-11,0.0000
Brinkworth,152300.0,2024-05-24,0.0000
Broadview,812200.0,2023-08-22,nan
Broadview,850600.0,2023-09-19,4.7279
Broadview,850600.0,2023-09-28,0.0000
Broadview,844000.0,2023-10-17,-0.7759
Broadview,844000.0,2023-10-23,0.0000
Broadview,844000.0,2023-11-11,0.0000
Broadview,934200.0,2024-05-24,10.6872
Brompton,736000.0,2023-08-22,nan
Brompton,744500.0,2023-09-19,1.1549
Brompton,744500.0,2023-09-28,0.0000
Brompton,739500.0,2023-10-17,-0.6716
Brompton,739500.0,2023-10-23,0.0000
Brompton,739500.0,2023-11-11,0.0000
Brompton,806200.0,2024-05-24,9.0196
Brooklyn Park,748800.0,2023-08-22,nan
Brooklyn Park,763700.0,2023-09-19,1.9899
Brooklyn Park,763700.0,2023-09-28,0.0000
Brooklyn Park,762600.0,2023-10-17,-0.1440
Brooklyn Park,762600.0,2023-10-23,0.0000
Brooklyn Park,762600.0,2023-11-11,0.0000
Brooklyn Park,834300.0,2024-05-24,9.4020
Brownlow Ki,346600.0,2023-08-22,nan
Brownlow Ki,346600.0,2023-09-19,0.0000
Brownlow Ki,346600.0,2023-09-28,0.0000
Brownlow Ki,346600.0,2023-10-17,0.0000
Brownlow Ki,346600.0,2023-10-23,0.0000
Brownlow Ki,346600.0,2023-11-11,0.0000
Brownlow Ki,346600.0,2024-05-24,0.0000
Brukunga,870800.0,2023-08-22,nan
Brukunga,824200.0,2023-09-19,-5.3514
Brukunga,824200.0,2023-09-28,0.0000
Brukunga,824200.0,2023-10-17,0.0000
Brukunga,824200.0,2023-10-23,0.0000
Brukunga,824200.0,2023-11-11,0.0000
Brukunga,662300.0,2024-05-24,-19.6433
Bugle Ranges,980000.0,2023-08-22,nan
Bugle Ranges,980000.0,2023-09-19,0.0000
